from_currency_id|to_currency_id|conversion_rate|meta_status
1|2|0.27225404569511900000|active
2|1|3.67304000000000000000|active
1|2|0.27225404569511900000|active
2|1|3.67304000000000000000|active
2|2|1.00000000000000000000|active
2|2|1.00000000000000000000|active
13|2|0.01188614989205236300|active
2|13|84.13153200000000000000|active
14|2|0.01059200551224914000|active
2|14|94.41082700000000000000|active
15|2|386.00000000000000000000|active
2|15|0.00259067357512953380|active
16|2|0.55491339744062840000|active
2|16|1.80208300000000000000|active
17|2|825.00000000000000000000|active
2|17|0.00121212121212121210|active
18|2|0.00348525967103184650|active
2|18|286.92266700000000000000|active
19|2|0.65008938729075250000|active
2|19|1.53825000000000000000|active
20|2|0.55478502080443830000|active
2|20|1.80250000000000000000|active
21|2|0.58823529411764710000|active
2|21|1.70000000000000000000|active
22|2|0.56209743284481450000|active
2|22|1.77905100000000000000|active
23|2|2.00000000000000000000|active
2|23|0.50000000000000000000|active
24|2|0.00913612535334079000|active
2|24|109.45559100000000000000|active
25|2|0.55984615427680470000|active
2|25|1.78620500000000000000|active
26|2|2.65248471505682960000|active
2|26|0.37700500000000000000|active
27|2|0.00035284178758075450|active
2|27|2834.13143000000000000000|active
28|2|1.00000000000000000000|active
2|28|1.00000000000000000000|active
29|2|0.74070233395305420000|active
2|29|1.35007000000000000000|active
30|2|0.14472159111548363000|active
2|30|6.90981900000000000000|active
31|2|0.20375313270441534000|active
2|31|4.90790000000000000000|active
32|2|1.00000000000000000000|active
2|32|1.00000000000000000000|active
33|2|0.07410016282028777000|active
2|33|13.49524700000000000000|active
34|2|0.39617642211488480000|active
2|34|2.52412800000000000000|active
35|2|0.49609646496541960000|active
2|35|2.01573700000000000000|active
36|2|0.74407530042040260000|active
2|36|1.34395000000000000000|active
37|2|0.00040306112948869903|active
2|37|2481.01324300000000000000|active
38|2|1.14046412327961000000|active
2|38|0.87683600000000000000|active
39|2|0.00117204439704175980|active
2|39|853.21000000000000000000|active
