modifier_section_id|sequence_nr|display_choice_name_en|display_choice_name_ar|default_price|currency_id|default_quantity|max_choice_count|min_choice_count|meta_status
25|4|sprite|Sprite|0.00|1|0|1|0|active
25|5|sprite zero|Sprite Zero|0.00|1|0|1|0|active
25|6|fanta|Fanta|0.00|1|0|1|0|active
25|7|schweppes bitter lemon|Schweppes Bitter Lemon|2.00|1|0|1|0|active
25|8|schweppes soda|Schweppes Soda|2.00|1|0|1|0|active
26|1|no onions|No onions|0.00|1|0|1|0|active
26|2|no sauce|No sauce|0.00|1|0|1|0|active
26|3|no tomatoes|No tomatoes|0.00|1|0|1|0|active
26|4|no pickles|No pickles|0.00|1|0|1|0|active
26|5|no lettuce|No lettuce|0.00|1|0|1|0|active
26|6|no cheese|No cheese|0.00|1|0|1|0|active
26|7|no mustard|No mustard|0.00|1|0|1|0|active
26|8|no cabbage|No cabbage|0.00|1|0|1|0|active
27|1|fries|Fries|0.00|1|0|1|0|active
27|2|coleslaw|Coleslaw|0.00|1|0|1|0|active
28|1|coca cola|Coca Cola|0.00|1|0|1|0|active
28|2|coca cola zero|Coca Cola Zero|0.00|1|0|1|0|active
28|3|coca cola light|Coca Cola Light|0.00|1|0|1|0|active
28|4|sprite|Sprite|0.00|1|0|1|0|active
28|5|sprite zero|Sprite Zero|0.00|1|0|1|0|active
28|6|fanta|Fanta|0.00|1|0|1|0|active
28|7|schweppes bitter lemon|Schweppes Bitter Lemon|2.00|1|0|1|0|active
28|8|schweppes soda|Schweppes Soda|2.00|1|0|1|0|active
29|1|fries & coke|Fries & Coke|16.00|1|0|1|0|active
29|2|fries & coke zero|Fries & Coke Zero|16.00|1|0|1|0|active
29|3|fries & coke light|Fries & Coke Light|16.00|1|0|1|0|active
29|4|fries & sprite|Fries & Sprite|16.00|1|0|1|0|active
29|5|fries & sprite zero|Fries & Sprite Zero|16.00|1|0|1|0|active
29|6|fries & fanta|Fries & Fanta|16.00|1|0|1|0|active
29|7|fries & arwa|Fries & Arwa|15.00|1|0|1|0|active
30|1|no onions|No onions|0.00|1|0|1|0|active
30|2|no sauce|No sauce|0.00|1|0|1|0|active
30|3|no tomatoes|No tomatoes|0.00|1|0|1|0|active
30|4|no pickles|No pickles|0.00|1|0|1|0|active
30|5|no lettuce|No lettuce|0.00|1|0|1|0|active
30|6|no cheese|No cheese|0.00|1|0|1|0|active
30|7|no mustard|No mustard|0.00|1|0|1|0|active
30|8|no cabbage|No cabbage|0.00|1|0|1|0|active
31|1|fries & coke|Fries & Coke|16.00|1|0|1|0|active
31|2|fries & coke zero|Fries & Coke Zero|16.00|1|0|1|0|active
31|3|fries & coke light|Fries & Coke Light|16.00|1|0|1|0|active
31|4|fries & sprite|Fries & Sprite|16.00|1|0|1|0|active
31|5|fries & sprite zero|Fries & Sprite Zero|16.00|1|0|1|0|active
31|6|fries & fanta|Fries & Fanta|16.00|1|0|1|0|active
31|7|fries & arwa|Fries & Arwa|15.00|1|0|1|0|active
32|1|no onions|No onions|0.00|1|0|1|0|active
32|2|no sauce|No sauce|0.00|1|0|1|0|active
32|3|no tomatoes|No tomatoes|0.00|1|0|1|0|active
32|4|no pickles|No pickles|0.00|1|0|1|0|active
32|5|no lettuce|No lettuce|0.00|1|0|1|0|active
32|6|no cheese|No cheese|0.00|1|0|1|0|active
32|7|no mustard|No mustard|0.00|1|0|1|0|active
32|8|no cabbage|No cabbage|0.00|1|0|1|0|active
33|1|fries & coke|Fries & Coke|16.00|1|0|1|0|active
33|2|fries & coke zero|Fries & Coke Zero|16.00|1|0|1|0|active
33|3|fries & coke light|Fries & Coke Light|16.00|1|0|1|0|active
33|4|fries & sprite|Fries & Sprite|16.00|1|0|1|0|active
